Method,Sample,Volume,Sphericity,Z/XY Ratio,Total Loss
tenet,0,3.6520000000000006,0.9518555529855236,1.6544276037868755,0.8303485017208646
tenet,1,3.8457500000000016,0.9432640162015055,1.7651231388672026,0.9033613915933301
tenet,2,4.3671250000000015,0.9301704723903897,1.8652417710012776,0.978091360707855
tenet,3,4.485875000000002,0.9086376000929686,2.1886079591569487,1.3513520165753252
tenet,4,4.406625000000002,0.9133546405111903,2.1455559391113193,1.284655322961247
tenet,5,4.241125000000003,0.8912668273365716,2.079285908657162,1.200945997967355
tenet,6,3.4288750000000014,0.9269049038791631,1.7046587587071296,0.9588202508155468
tenet,7,3.56925,0.9153833711252168,1.9525686717738786,1.1847253054253517
tenet,8,3.3626250000000013,0.9422263636821018,1.619101354739944,0.8737641718555491
tenet,9,5.165875000000002,0.8804686015475731,2.2358398817618714,1.5891603893616597
tenet,10,4.486625,0.9024004620014886,1.9826629749627422,1.1518232963383732
tenet,11,5.119375000000003,0.8802403777634458,2.1891988334918926,1.5316417611977573
tenet,12,3.8728749999999996,0.9041958995257833,2.038440958629657,1.209268942552644
tenet,13,3.6940000000000017,0.923110246444814,1.9129765922627497,1.107611748254047
tenet,14,3.5745000000000013,0.9164125093958486,2.029040783641416,1.2589143979618318
tenet,15,3.6887500000000006,0.9403247337761127,2.137897773311447,1.316572323031871
tenet,16,4.2223749999999995,0.9021797798787851,2.399977951760131,1.506246941883734
tenet,17,4.037000000000001,0.8835282886348913,2.3015646510707293,1.4538615355908413
tenet,18,3.5072500000000018,0.9233016855981435,1.7664896751053467,1.0055357325212941
tenet,19,4.311624999999999,0.9120115888252612,1.772453850905516,0.8902070101098701
tenet,20,3.40525,0.9243611751366493,1.6926624185315466,0.955010104154391
tenet,21,3.9182500000000013,0.9543236773215753,1.554367999931568,0.6642310911793738
tenet,22,4.434499999999999,0.9189600252362374,2.0061698085628192,1.1463213190323374
tenet,23,4.208125000000003,0.9398817200371645,1.7123531012470745,0.7775167597625735
tenet,24,4.448750000000001,0.8936813458430093,2.1204601562379586,1.2892937375504308
tenet,25,4.508000000000001,0.878710580738214,2.3380653790749375,1.5360206688884315
tenet,26,4.508000000000001,0.878710580738214,2.3380653790749375,1.5360206688884315
tenet,27,3.171000000000001,0.8620333063618209,1.5952616199406602,0.9758841530820633
tenet,28,3.1718750000000004,0.8492995037840059,1.6682728684947818,1.0614202240372625
tenet,29,3.2882499999999997,0.8583705912520933,1.5049719786714015,0.8612538832397049
x2 ewc loss,0,4.298250000000001,0.7457276240378381,3.184084235861327,2.464926948580117
x2 ewc loss,1,4.775375,0.7191947519328903,3.6512430570303454,3.0725725467979568
