training loss,validatation loss
-1.6668347120285034,-1.6555289031239226
-1.6353191137313843,-1.6722102337516844
-1.674982726573944,-1.662947112112306
-1.7294725179672241,-1.7139801301527768
-1.7907837629318237,-1.8016867114347406
-1.8594829440116882,-1.8767571913340362
-1.8439177870750427,-1.9893851321103284
-2.044273853302002,-2.1564155932865106
-2.2011343240737915,-2.4781526566366665
-2.5936708450317383,-2.5573317730159033
-2.4695273637771606,-2.5976649990770966
-2.4270856380462646,-2.502193392952904
-2.488537311553955,-2.5502326475689188
-2.6420979499816895,-2.572260339395143
-2.722630262374878,-2.5930499936221167
-2.548574447631836,-2.5724985159467906
-2.6102763414382935,-2.608883449138375
-2.6423161029815674,-2.5748058023455087
-2.614626884460449,-2.5976376929320395
-2.5777751207351685,-2.582958454382606
-2.5735751390457153,-2.6101598909299355
