training loss,validatation loss
0.319016337543726,0.2611302851165832
0.2563465665280819,0.25152196341766164
0.24433379530906676,0.23733110630207768
0.444093823581934,0.2168513954720121
0.2043967293947935,0.19006417712329787
0.17410882540047168,0.15612242074034824
0.29183709912002087,0.11761295093278575
0.168080017529428,0.11603288377373824
0.22748288174625486,0.03398937520555413
0.4811816721332434,3.239549616580855
0.15521086906446727,-0.13847286318341465
-0.13123923282255417,-0.22248470712365784
-0.20956070525106044,-0.2866206255428549
-0.2637942430842668,-0.3743457063035746
-0.3996680511534214,-0.4497092341203824
-0.4991082622576505,-0.5738733710320957
-0.6074183718860149,-0.6635279811234794
-0.6833838987350463,-0.7534942606289405
-0.7602003975212575,-0.8210346588486572
-0.8297876523435116,-0.920605508875451
-0.8597843506373465,-0.9686690118636762
-0.9836010605096817,-1.0550242240977241
-1.0806038051843643,-1.083751591371908
-1.0869708812236787,-1.0895041281482052
-1.0927150636911391,-1.0952133922030043
-1.0986107194423675,-1.1010474204971565
-1.1042786222696304,-1.1068089329619752
-1.1098928529024124,-1.1125472565650725
-1.1159822177886962,-1.1182620034528277
-1.1213727062940597,-1.1239335361121796
-1.1266834926605225,-1.1295560422136077
-1.132800685763359,-1.135139340454907
-1.1382537686824798,-1.1406592546146554
-1.1412290054559708,-1.1412105994307757
-1.1418778312206268,-1.141766586726704
-1.1423369479179382,-1.1423262649492556
-1.1430793452262877,-1.1428891467521567
-1.1437299001216887,-1.1434547240450776
-1.1440102452039718,-1.1440215991345901
-1.1447847890853882,-1.1445901109873293
-1.1453366410732269,-1.1451596970928246
-1.1458371102809906,-1.145729863400327
-1.1462904274463654,-1.1463003922345156
-1.1468405854701995,-1.1468710262419695
-1.1471736299991608,-1.1469281021836122
-1.1475922453403473,-1.1469854718100596
-1.1474845468997956,-1.1470428355405633
-1.1472788751125336,-1.1471002119326932
-1.1473954153060912,-1.1471576730550992
-1.1476415729522704,-1.1472152514584
-1.1475112426280976,-1.1472728912202306
-1.1477307188510895,-1.1473304145812775
-1.1477272117137909,-1.1473881123835743
-1.147948261499405,-1.1474457415779724
-1.1478465580940247,-1.147503442600009
-1.1477367961406708,-1.1475091866946152
-1.147892209291458,-1.147515041024355
-1.147874928712845,-1.1475207885932197
-1.1479083716869354,-1.1475264736251727
-1.147972822189331,-1.1475322931635155
-1.147888914346695,-1.1475380737158107
-1.147905569076538,-1.1475438439515844
-1.1478845882415771,-1.1475496000181757
-1.1480086183547973,-1.1475553329777977
-1.1478977942466735,-1.1475611066951306
-1.1478985929489136,-1.147566982469397
-1.1479715895652771,-1.147567543120518
-1.1479759263992309,-1.1475681154087982
-1.1480991530418396,-1.1475686160369047
-1.1478248596191407,-1.1475693193644592
-1.148049647808075,-1.1475699158620447
-1.1480763494968413,-1.1475704526567594
-1.1480351829528808,-1.1475709648347245
-1.1480133986473084,-1.147571501549375
-1.1481725704669952,-1.1475722047241408
-1.1477355575561523,-1.147572749619897
-1.148036013841629,-1.1475732745297047
-1.147853991985321,-1.1475738359448218
-1.1478297054767608,-1.1475745154123573
-1.1479500913619995,-1.1475750761944628
-1.1482918858528137,-1.1475756370020302
-1.1480235934257508,-1.1475761626725436
-1.1479965960979461,-1.1475767108570576
-1.14799556016922,-1.147577385966293
-1.14790762424469,-1.147577982842246
-1.1481505882740022,-1.1475784951875743
-1.148031746149063,-1.1475790343979153
-1.1477832579612732,-1.1475797022173329
-1.147988349199295,-1.1475802508675195
-1.147823872566223,-1.147580858252851
-1.1480268681049346,-1.147581394843846
-1.148029749393463,-1.1475818847224661
-1.1480222737789154,-1.1475825838154239
-1.1481240475177765,-1.1475831329602542
-1.1479098725318908,-1.1475837172168173
-1.1480795645713806,-1.1475842534804
-1.1478435909748077,-1.1475849001500855
