, ,Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),ID,FRAME,mg_volume,mask_volume
7,8,7,obj8-val8,8,0,1352.598,596.769,4.993,1352.598,596.769,4.993,1323,556,0,1375,631,19,80560,0.259,20836,20836,10830,10830,7677.933,0.039,0.338,0.108,0.477,0.039,0.338,0.948,38.95,1.557,3.091,33040.212,0.631,2.709,43.382,21.871,8.123,MD495,0,743.0,113659.0
139,140,139,obj140-val140,140,0,801.204,141.688,157.897,801.204,141.688,157.897,790,133,128,808,153,184,22743,0.09,2058,2058,2054,2054,1341.95,0.055,0.381,0.198,0.583,0.055,0.381,0.905,28.657,2.905,2.016,5796.609,0.355,1.539,31.149,13.468,7.346,MD495,0,34.0,40673.0
206,207,206,obj207-val207,207,0,705.831,1270.306,191.798,705.831,1270.306,191.798,700,1259,165,712,1281,216,15548,0.081,1264,1264,1438,1438,935.975,0.061,0.393,0.22,0.604,0.061,0.393,0.893,33.568,8.55,1.185,1828.827,0.691,0.742,27.957,13.899,7.3,MD495,0,6.0,31727.0
272,273,272,obj273-val273,273,0,749.134,94.257,237.689,749.134,94.257,237.689,740,91,216,757,98,261,6624,0.297,1968,1968,1656,1656,1121.251,0.096,0.459,0.311,0.677,0.096,0.459,0.934,27.578,5.265,1.28,2476.254,0.795,2.295,23.834,11.932,6.084,MD495,0,0.0,31875.0
400,401,400,obj401-val401,401,0,846.984,1405.178,306.564,846.984,1405.178,306.564,834,1394,297,863,1417,315,13680,0.126,1728,1728,1640,1640,1059.758,0.077,0.425,0.284,0.657,0.077,0.425,0.918,21.062,2.89,1.236,3792.463,0.456,0.471,18.278,9.921,3.971,MD495,0,0.0,30212.0
23,24,23,obj24-val24,24,0,1355.491,593.781,4.36,1355.491,593.781,4.36,1329,566,0,1376,622,22,62928,0.196,12317,12317,7586,7586,5349.851,0.039,0.34,0.112,0.482,0.039,0.34,0.938,30.795,1.451,2.816,20644.998,0.597,0.846,29.674,17.108,6.188,MD495,1,1050.0,86254.0
223,224,223,obj224-val224,224,0,1219.378,1480.307,52.988,1219.378,1480.307,52.988,1209,1473,36,1229,1488,68,11088,0.208,2302,2302,1626,1626,1051.265,0.139,0.519,0.516,0.802,0.139,0.519,0.955,15.087,2.14,1.109,2834.517,0.812,4.153,19.449,8.997,3.108,MD495,1,375.0,28150.0
407,408,407,obj408-val408,408,0,1437.783,866.155,164.472,1437.783,866.155,164.472,1432,861,148,1446,871,179,5280,0.216,1140,1140,1146,1146,769.898,0.098,0.461,0.322,0.685,0.098,0.461,0.921,19.205,3.832,1.171,1725.868,0.661,0.542,17.139,8.71,3.749,MD495,1,265.0,24030.0
437,438,437,obj438-val438,438,0,1160.182,1676.013,182.515,1160.182,1676.013,182.515,1152,1657,159,1168,1691,202,26180,0.135,3547,3547,2884,2884,1933.95,0.059,0.39,0.197,0.582,0.059,0.39,0.925,25.607,2.495,1.858,6082.327,0.583,2.443,24.394,12.925,5.292,MD495,1,56.0,43089.0
472,473,472,obj473-val473,473,0,553.752,828.733,211.618,553.752,828.733,211.618,543,824,178,563,833,239,13020,0.188,2448,2448,2206,2206,1507.015,0.063,0.398,0.198,0.583,0.063,0.398,0.918,34.837,6.793,1.213,3163.946,0.774,2.312,34.218,15.574,8.167,MD495,1,248.75294117647059,40674.0
