    INFO: 2024-08-10 13:08:10,409:               log.py:   20: Logging to /home/haruhiko/Documents/JNet/mdpdf.log
   DEBUG: 2024-08-10 13:08:10,410:               cli.py:  103: experiments/reports/JNet_588.md
    INFO: 2024-08-10 13:08:10,410:         converter.py:   14: experiments/reports/JNet_588.md
   DEBUG: 2024-08-10 13:08:10,525:      pdf_renderer.py:  470: printSegment: JNet
   DEBUG: 2024-08-10 13:08:10,526:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,527:      pdf_renderer.py:  470: printSegment: 588 Report
   DEBUG: 2024-08-10 13:08:10,527:      pdf_renderer.py:  470: printSegment: psf loss 1.0 and ewc 1.0, adjust
   DEBUG: 2024-08-10 13:08:10,528:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,529:      pdf_renderer.py:  470: printSegment: luminance = false
   DEBUG: 2024-08-10 13:08:10,529:      pdf_renderer.py:  470: printSegment: pretrained model : JNet
   DEBUG: 2024-08-10 13:08:10,529:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,530:      pdf_renderer.py:  470: printSegment: 584
   DEBUG: 2024-08-10 13:08:10,530:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,530:      pdf_renderer.py:  470: printSegment: pretrain
   DEBUG: 2024-08-10 13:08:10,530:      pdf_renderer.py:  470: printSegment: Model Parameters
   DEBUG: 2024-08-10 13:08:10,531:      pdf_renderer.py:  470: printSegment: |Parameter|Value|Comment|
   DEBUG: 2024-08-10 13:08:10,531:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,531:      pdf_renderer.py:  470: printSegment: | :--- | :--- | :--- |
   DEBUG: 2024-08-10 13:08:10,532:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,532:      pdf_renderer.py:  470: printSegment: |hidden
   DEBUG: 2024-08-10 13:08:10,532:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,532:      pdf_renderer.py:  470: printSegment: channels
   DEBUG: 2024-08-10 13:08:10,533:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,533:      pdf_renderer.py:  470: printSegment: list|
   DEBUG: 2024-08-10 13:08:10,533:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2024-08-10 13:08:10,534:      pdf_renderer.py:  470: printSegment: 16, 32, 64, 128, 256
   DEBUG: 2024-08-10 13:08:10,534:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2024-08-10 13:08:10,534:      pdf_renderer.py:  470: printSegment: ||
   DEBUG: 2024-08-10 13:08:10,534:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,535:      pdf_renderer.py:  470: printSegment: |attn
   DEBUG: 2024-08-10 13:08:10,535:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,535:      pdf_renderer.py:  470: printSegment: list|
   DEBUG: 2024-08-10 13:08:10,536:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2024-08-10 13:08:10,536:      pdf_renderer.py:  470: printSegment: False, False,
   DEBUG: 2024-08-10 13:08:10,536:      pdf_renderer.py:  470: printSegment: False, False, False
   DEBUG: 2024-08-10 13:08:10,537:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2024-08-10 13:08:10,537:      pdf_renderer.py:  470: printSegment: ||
   DEBUG: 2024-08-10 13:08:10,537:      pdf_renderer.py:  470: printSegment:  
